date,currency,rate,unit
2026-03-18,USD,1388.82,KRW
2026-03-19,USD,1388.33,KRW
2026-03-20,USD,1385.55,KRW
2026-03-23,USD,1388.36,KRW
2026-03-24,USD,1389.57,KRW
2026-03-25,USD,1391.44,KRW
2026-03-26,USD,1392.01,KRW
2026-03-27,USD,1394.49,KRW
2026-03-30,USD,1392.15,KRW
2026-03-31,USD,1390.64,KRW
2026-01-02,EUR,1500.99,KRW
2026-01-05,EUR,1498.99,KRW
2026-01-06,EUR,1499.66,KRW
2026-01-07,EUR,1500.04,KRW
2026-01-08,EUR,1500.91,KRW
2026-01-09,EUR,1501.79,KRW
2026-01-12,EUR,1504.59,KRW
2026-01-13,EUR,1503.58,KRW
2026-01-14,EUR,1505.36,KRW
2026-01-15,EUR,1503.0,KRW
2026-01-16,EUR,1500.59,KRW
2026-01-19,EUR,1498.92,KRW
2026-01-20,EUR,1500.4,KRW
2026-01-21,EUR,1500.75,KRW
2026-01-22,EUR,1501.87,KRW
2026-01-23,EUR,1500.2,KRW
2026-01-26,EUR,1499.45,KRW
2026-01-27,EUR,1499.22,KRW
2026-01-28,EUR,1500.3,KRW
2026-01-29,EUR,1501.44,KRW
2026-01-30,EUR,1499.35,KRW
2026-02-02,EUR,1502.33,KRW
2026-02-03,EUR,1502.23,KRW
2026-02-04,EUR,1501.0,KRW
2026-02-05,EUR,1503.53,KRW
2026-02-06,EUR,1501.04,KRW
2026-02-09,EUR,1503.03,KRW
2026-02-10,EUR,1504.41,KRW
2026-02-11,EUR,1503.5,KRW
2026-02-12,EUR,1502.56,KRW
2026-02-13,EUR,1504.26,KRW
2026-02-16,EUR,1504.39,KRW
2026-02-17,EUR,1503.48,KRW
2026-02-18,EUR,1501.07,KRW
2026-02-19,EUR,1502.4,KRW
2026-02-20,EUR,1502.11,KRW
2026-02-23,EUR,1499.52,KRW
2026-02-24,EUR,1496.78,KRW
2026-02-25,EUR,1498.05,KRW
2026-02-26,EUR,1495.19,KRW
2026-02-27,EUR,1494.24,KRW
2026-03-02,EUR,1491.9,KRW
2026-03-03,EUR,1493.7,KRW
2026-03-04,EUR,1496.28,KRW
2026-03-05,EUR,1497.72,KRW
2026-03-06,EUR,1497.82,KRW
2026-03-09,EUR,1498.13,KRW
2026-03-10,EUR,1497.12,KRW
2026-03-11,EUR,1496.67,KRW
2026-03-12,EUR,1496.45,KRW
2026-03-13,EUR,1498.23,KRW
2026-03-16,EUR,1499.01,KRW
2026-03-17,EUR,1497.13,KRW
2026-03-18,EUR,1498.07,KRW
2026-03-19,EUR,1497.45,KRW
2026-03-20,EUR,1498.87,KRW
2026-03-23,EUR,1501.17,KRW
2026-03-24,EUR,1500.87,KRW
2026-03-25,EUR,1500.44,KRW
2026-03-26,EUR,1497.47,KRW
2026-03-27,EUR,1495.76,KRW
2026-03-30,EUR,1494.43,KRW
2026-03-31,EUR,1495.65,KRW
2026-01-02,JPY,10.98,KRW
2026-01-05,JPY,11.44,KRW
2026-01-06,JPY,13.24,KRW
2026-01-07,JPY,13.46,KRW
2026-01-08,JPY,12.65,KRW
2026-01-09,JPY,10.84,KRW
2026-01-12,JPY,8.52,KRW
2026-01-13,JPY,9.54,KRW
2026-01-14,JPY,9.48,KRW
2026-01-15,JPY,12.28,KRW
2026-01-16,JPY,11.16,KRW
2026-01-19,JPY,10.49,KRW
2026-01-20,JPY,9.84,KRW
2026-01-21,JPY,7.53,KRW
2026-01-22,JPY,6.64,KRW
2026-01-23,JPY,6.39,KRW
2026-01-26,JPY,4.42,KRW
2026-01-27,JPY,5.46,KRW
2026-01-28,JPY,7.27,KRW
2026-01-29,JPY,9.78,KRW
2026-01-30,JPY,10.32,KRW
2026-02-02,JPY,11.35,KRW
2026-02-03,JPY,10.23,KRW
2026-02-04,JPY,8.66,KRW
2026-02-05,JPY,6.37,KRW
2026-02-06,JPY,5.61,KRW
2026-02-09,JPY,3.45,KRW
2026-02-10,JPY,2.79,KRW
2026-02-11,JPY,3.36,KRW
2026-02-12,JPY,3.81,KRW
2026-02-13,JPY,3.35,KRW
2026-02-16,JPY,3.27,KRW
2026-02-17,JPY,3.5,KRW
2026-02-18,JPY,6.01,KRW
2026-02-19,JPY,8.59,KRW
2026-02-20,JPY,6.63,KRW
2026-02-23,JPY,4.63,KRW
2026-02-24,JPY,3.37,KRW
2026-02-25,JPY,1.49,KRW
2026-02-26,JPY,3.54,KRW
2026-02-27,JPY,4.26,KRW
2026-03-02,JPY,6.45,KRW
2026-03-03,JPY,9.16,KRW
2026-03-04,JPY,9.07,KRW
2026-03-05,JPY,7.24,KRW
2026-03-06,JPY,6.55,KRW
2026-03-09,JPY,6.91,KRW
2026-03-10,JPY,7.83,KRW
2026-03-11,JPY,7.29,KRW
2026-03-12,JPY,7.24,KRW
2026-03-13,JPY,8.5,KRW
2026-03-16,JPY,8.16,KRW
2026-03-17,JPY,6.17,KRW
2026-03-18,JPY,6.56,KRW
2026-03-19,JPY,8.33,KRW
2026-03-20,JPY,6.66,KRW
2026-03-23,JPY,3.85,KRW
2026-03-24,JPY,2.2,KRW
2026-03-25,JPY,0.93,KRW
2026-03-26,JPY,2.62,KRW
2026-03-27,JPY,3.01,KRW
2026-03-30,JPY,4.65,KRW
2026-03-31,JPY,4.62,KRW
2026-01-02,CNY,190.06,KRW
2026-01-05,CNY,190.5,KRW
2026-01-06,CNY,189.11,KRW
2026-01-07,CNY,189.37,KRW
2026-01-08,CNY,192.31,KRW
2026-01-09,CNY,192.56,KRW
2026-01-12,CNY,194.11,KRW
2026-01-13,CNY,195.67,KRW
2026-01-14,CNY,195.31,KRW
2026-01-15,CNY,193.62,KRW
2026-01-16,CNY,193.18,KRW
2026-01-19,CNY,194.59,KRW
2026-01-20,CNY,195.51,KRW
2026-01-21,CNY,194.0,KRW
2026-01-22,CNY,196.25,KRW
2026-01-23,CNY,193.44,KRW
2026-01-26,CNY,192.02,KRW
2026-01-27,CNY,194.19,KRW
2026-01-28,CNY,191.71,KRW
2026-01-29,CNY,193.9,KRW
2026-01-30,CNY,191.61,KRW
2026-02-02,CNY,193.48,KRW
2026-02-03,CNY,191.74,KRW
2026-02-04,CNY,193.17,KRW
2026-02-05,CNY,194.3,KRW
2026-02-06,CNY,196.47,KRW
2026-02-09,CNY,197.13,KRW
2026-02-10,CNY,196.7,KRW
2026-02-11,CNY,197.39,KRW
2026-02-12,CNY,199.1,KRW
2026-02-13,CNY,200.98,KRW
2026-02-16,CNY,202.82,KRW
2026-02-17,CNY,203.24,KRW
2026-02-18,CNY,203.43,KRW
2026-02-19,CNY,204.01,KRW
2026-02-20,CNY,202.02,KRW
2026-02-23,CNY,204.9,KRW
2026-02-24,CNY,203.65,KRW
2026-02-25,CNY,204.09,KRW
2026-02-26,CNY,206.8,KRW
2026-02-27,CNY,206.89,KRW
2026-03-02,CNY,209.29,KRW
2026-03-03,CNY,211.18,KRW
2026-03-04,CNY,209.0,KRW
2026-03-05,CNY,210.5,KRW
2026-03-06,CNY,209.97,KRW
2026-03-09,CNY,207.32,KRW
2026-03-10,CNY,205.99,KRW
2026-03-11,CNY,206.92,KRW
2026-03-12,CNY,208.13,KRW
2026-03-13,CNY,205.93,KRW
2026-03-16,CNY,203.8,KRW
2026-03-17,CNY,202.74,KRW
2026-03-18,CNY,201.22,KRW
2026-03-19,CNY,203.28,KRW
2026-03-20,CNY,202.64,KRW
2026-03-23,CNY,200.49,KRW
2026-03-24,CNY,201.29,KRW
2026-03-25,CNY,202.05,KRW
2026-03-26,CNY,201.3,KRW
2026-03-27,CNY,198.76,KRW
2026-03-30,CNY,200.52,KRW
2026-03-31,CNY,202.14,KRW
