case_no,court,sido,sgg,address,property_type,appraisal_amount,min_bid,auction_round,auction_date,status
2025타경10028,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 29,상가,900000000,900000000,1,2026-02-01,진행
2025타경10029,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 30,아파트,900000000,900000000,1,2026-01-23,진행
2025타경10030,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 31,오피스텔,300000000,192000000,3,2026-01-17,유찰
2025타경10031,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 32,상가,800000000,640000000,2,2026-03-19,매각
2025타경10032,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 33,아파트,1700000000,870400000,4,2026-01-04,매각
2025타경10033,수원지방법원,경기도,수원시,경기도 수원시 샘플로 34,아파트,1500000000,768000000,4,2026-02-28,진행
2025타경10034,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 35,오피스텔,1400000000,896000000,3,2026-01-08,진행
2025타경10035,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 36,다세대,1600000000,1280000000,2,2026-02-06,매각
2025타경10036,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 37,아파트,400000000,204800000,4,2026-03-04,진행
2025타경10037,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 38,토지,900000000,720000000,2,2026-02-16,진행
2025타경10038,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 39,토지,300000000,240000000,2,2026-02-01,유찰
2025타경10039,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 40,상가,1100000000,563200000,4,2026-03-24,매각
2025타경10040,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 41,상가,800000000,512000000,3,2026-01-02,진행
2025타경10041,수원지방법원,경기도,수원시,경기도 수원시 샘플로 42,상가,300000000,300000000,1,2026-03-16,진행
2025타경10042,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 43,상가,1800000000,1800000000,1,2026-01-03,진행
2025타경10043,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 44,상가,1400000000,1400000000,1,2026-03-08,진행
2025타경10044,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 45,상가,400000000,204800000,4,2026-03-19,유찰
2025타경10045,수원지방법원,경기도,수원시,경기도 수원시 샘플로 46,토지,800000000,512000000,3,2026-01-09,진행
2025타경10046,수원지방법원,경기도,수원시,경기도 수원시 샘플로 47,토지,1600000000,1024000000,3,2026-01-01,진행
2025타경10047,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 48,오피스텔,1900000000,1520000000,2,2026-03-09,유찰
2025타경10048,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 49,토지,900000000,576000000,3,2026-02-06,유찰
2025타경10049,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 50,상가,2200000000,2200000000,1,2026-03-27,유찰
2025타경10050,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 51,상가,600000000,384000000,3,2026-01-04,진행
2025타경10051,수원지방법원,경기도,수원시,경기도 수원시 샘플로 52,오피스텔,1100000000,880000000,2,2026-03-11,유찰
2025타경10052,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 53,토지,1700000000,1088000000,3,2026-01-03,유찰
2025타경10053,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 54,다세대,200000000,128000000,3,2026-01-21,진행
2025타경10054,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 55,아파트,1900000000,972800000,4,2026-03-01,진행
2025타경10055,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 56,상가,1900000000,1900000000,1,2026-02-19,진행
2025타경10056,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 57,아파트,600000000,600000000,1,2026-02-12,유찰
2025타경10057,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 58,다세대,2300000000,1840000000,2,2026-03-04,매각
2025타경10058,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 59,오피스텔,2500000000,2000000000,2,2026-01-28,진행
2025타경10059,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 60,토지,200000000,160000000,2,2026-03-11,진행
2025타경10060,수원지방법원,경기도,수원시,경기도 수원시 샘플로 61,아파트,700000000,700000000,1,2026-02-28,매각
2025타경10061,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 62,오피스텔,800000000,409600000,4,2026-02-10,진행
2025타경10062,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 63,다세대,2300000000,1840000000,2,2026-02-11,진행
2025타경10063,수원지방법원,경기도,수원시,경기도 수원시 샘플로 64,상가,1300000000,665600000,4,2026-03-27,유찰
2025타경10064,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 65,다세대,500000000,320000000,3,2026-01-19,진행
2025타경10065,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 66,다세대,2100000000,1075200000,4,2026-02-24,매각
2025타경10066,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 67,오피스텔,1800000000,1800000000,1,2026-02-19,유찰
2025타경10067,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 68,상가,2400000000,1228800000,4,2026-01-17,진행
2025타경10068,수원지방법원,경기도,수원시,경기도 수원시 샘플로 69,상가,1500000000,1500000000,1,2026-03-11,유찰
2025타경10069,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 70,토지,2500000000,1600000000,3,2026-03-10,유찰
2025타경10070,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 71,오피스텔,2400000000,1536000000,3,2026-03-05,매각
2025타경10071,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 72,다세대,2300000000,1840000000,2,2026-03-19,매각
2025타경10072,부산지방법원,부산광역시,해운대구,부산광역시 해운대구 샘플로 73,토지,200000000,128000000,3,2026-02-07,유찰
2025타경10073,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 74,상가,1600000000,819200000,4,2026-03-07,매각
2025타경10074,서울동부지방법원,서울특별시,송파구,서울특별시 송파구 샘플로 75,상가,2300000000,2300000000,1,2026-02-17,유찰
2025타경10075,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 76,오피스텔,900000000,576000000,3,2026-01-26,진행
2025타경10076,서울중앙지방법원,서울특별시,서초구,서울특별시 서초구 샘플로 77,아파트,300000000,240000000,2,2026-02-20,매각
2025타경10077,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 78,토지,2200000000,1760000000,2,2026-03-23,매각
2025타경10078,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 79,아파트,900000000,720000000,2,2026-03-23,진행
2025타경10079,인천지방법원,인천광역시,남동구,인천광역시 남동구 샘플로 80,토지,900000000,720000000,2,2026-03-17,진행
